Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,Season_Start_Year,Referee,Avg_H_Odds,Avg_D_Odds,Avg_A_Odds,Total_Goals,Goal_Difference,Home_Shots_Accuracy,Away_Shots_Accuracy,Avg_Over_2.5,Avg_Under_2.5
12/02/11,Liverpool,Wigan,1,0,H,1,1,D,13,8,5,2,8,5,11,17,1,3,0,0,2010-2011,2010,K Friend,1.36,4.56,9.43,2,0,0.38461538461538464,0.25,1.82,1.96
12/02/11,Man United,Man City,1,0,H,2,1,H,11,13,6,8,4,7,15,13,2,2,0,0,2010-2011,2010,A Marriner,1.77,3.57,4.61,3,1,0.5454545454545454,0.6153846153846154,2.0,1.78
12/02/11,Sunderland,Tottenham,1,1,D,1,2,A,16,11,10,5,2,3,14,12,2,4,0,0,2010-2011,2010,M Jones,2.71,3.23,2.61,3,-1,0.625,0.45454545454545453,1.98,1.8
12/02/11,West Brom,West Ham,3,0,H,3,3,D,15,18,11,11,4,9,12,13,2,3,0,0,2010-2011,2010,L Mason,1.93,3.52,3.86,6,0,0.7333333333333333,0.6111111111111112,1.71,2.08
13/02/11,Bolton,Everton,1,0,H,2,0,H,11,9,5,4,4,4,15,12,1,0,0,0,2010-2011,2010,L Probert,2.69,3.22,2.64,2,2,0.45454545454545453,0.4444444444444444,1.98,1.79
14/02/11,Fulham,Chelsea,0,0,D,0,0,D,12,23,8,9,4,6,10,13,2,1,0,0,2010-2011,2010,M Dean,4.89,3.52,1.74,0,0,0.6666666666666666,0.391304347826087,1.98,1.8
15/02/11,Birmingham,Newcastle,0,1,A,0,2,A,11,10,5,7,4,6,13,14,1,3,0,0,2010-2011,2010,L Mason,2.52,3.21,2.87,2,-2,0.45454545454545453,0.7,2.22,1.63
20/02/11,West Brom,Wolves,0,1,A,1,1,D,19,6,11,2,12,1,6,6,0,0,0,0,2010-2011,2010,M Dean,1.86,3.4,4.33,2,0,0.5789473684210527,0.3333333333333333,1.81,1.97
22/02/11,Blackpool,Tottenham,2,0,H,3,1,H,8,25,4,10,1,7,11,8,2,0,0,0,2010-2011,2010,C Foy,4.21,3.67,1.84,4,2,0.5,0.4,1.55,2.36
23/02/11,Arsenal,Stoke,1,0,H,1,0,H,9,7,4,4,5,3,8,9,1,2,0,0,2010-2011,2010,P Walton,1.29,5.14,10.75,1,1,0.4444444444444444,0.5714285714285714,1.61,2.25
26/02/11,Aston Villa,Blackburn,0,0,D,4,1,H,17,5,10,2,10,2,4,12,0,3,0,1,2010-2011,2010,M Atkinson,1.75,3.58,4.87,5,3,0.5882352941176471,0.4,1.84,1.94
26/02/11,Everton,Sunderland,2,0,H,2,0,H,17,12,9,7,4,1,11,8,0,0,0,0,2010-2011,2010,S Attwell,1.72,3.55,5.08,2,2,0.5294117647058824,0.5833333333333334,1.99,1.79
26/02/11,Newcastle,Bolton,1,1,D,1,1,D,13,17,6,10,3,6,7,11,0,2,1,0,2010-2011,2010,C Foy,2.08,3.29,3.61,2,0,0.46153846153846156,0.5882352941176471,1.99,1.78
